Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
14544;2952;Appartement;60;3
14545;2954;Appartement;20;2
14546;3006;Appartement;44;2
14547;2992;Appartement;41;2
14548;3005;Appartement;30;1
14549;3016;Appartement;73;4
14550;3016;Appartement;54;3
14551;3010;Maison;91;4
14552;3010;Appartement;37;2
14553;3012;Appartement;82;4
14554;3000;Appartement;39;2
14555;3007;Maison;74;4
14556;3023;Appartement;16;1
14557;3029;Appartement;46;2
14558;3066;Appartement;50;3
14559;3025;Appartement;24;1
14560;3025;Appartement;35;2
14561;3026;Appartement;65;4
14562;3026;Appartement;40;2
14563;3032;Appartement;74;4
14564;3036;Appartement;54;3
14565;3050;Appartement;60;3
14566;3024;Appartement;38;2
14567;3065;Appartement;45;3
14568;3063;Appartement;49;3
14569;3021;Appartement;82;4
14570;3049;Maison;56;3
14571;3049;Maison;89;6
14572;3042;Maison;85;4
14573;3143;Appartement;84;4
14574;3104;Appartement;58;3
14575;3140;Appartement;53;3
14576;3068;Maison;78;4
14577;3156;Appartement;37;3
14578;3133;Appartement;20;1
14579;3067;Appartement;73;3
14580;3153;Appartement;19;1
14581;3120;Appartement;36;2
14582;3180;Appartement;47;2
14583;25;Appartement;69;3
14584;55;Maison;67;3
14585;204;Appartement;30;1
14586;205;Appartement;70;3
14587;166;Appartement;60;1
14588;151;Appartement;25;1
14589;218;Appartement;52;2
14590;201;Appartement;45;2
14591;143;Appartement;19;1
14592;148;Appartement;21;1
14593;150;Appartement;41;1
14594;174;Appartement;22;1
14595;227;Appartement;35;2
14596;227;Appartement;73;4
14597;283;Appartement;51;2
14598;304;Appartement;18;1
14599;299;Appartement;66;4
14600;331;Appartement;42;4
14601;331;Appartement;71;4
14602;331;Appartement;48;3
14603;315;Appartement;39;1
14604;315;Appartement;30;1
14605;315;Appartement;36;2
14606;313;Appartement;86;4
14607;318;Appartement;40;3
14608;314;Appartement;30;1
14609;322;Maison;140;6
14610;327;Appartement;25;2
14611;325;Appartement;42;2
14612;325;Appartement;94;4
14613;325;Appartement;78;4
14614;325;Appartement;58;3
14615;345;Appartement;67;3
14616;342;Appartement;44;2
14617;319;Appartement;48;3
14618;317;Appartement;28;2
14619;366;Appartement;29;1
14620;370;Appartement;20;1
14621;408;Appartement;49;2
14622;408;Appartement;79;4
14623;415;Appartement;94;3
14624;431;Appartement;93;4
14625;472;Appartement;107;4
14626;479;Appartement;99;5
14627;476;Appartement;48;2
14628;480;Appartement;44;2
14629;588;Appartement;31;2
14630;564;Appartement;60;3
14631;618;Appartement;54;3
14632;645;Appartement;40;3
14633;722;Appartement;54;2
14634;666;Appartement;22;1
14635;666;Appartement;37;1
14636;779;Appartement;45;2
14637;810;Appartement;22;1
14638;806;Maison;81;4
14639;789;Appartement;64;3
14640;881;Appartement;76;3
14641;947;Appartement;41;3
14642;904;Appartement;42;2
14643;945;Appartement;31;2
14644;900;Maison;34;3
14645;931;Maison;24;2
14646;901;Appartement;83;3
14647;901;Appartement;28;2
14648;901;Appartement;29;2
14649;951;Appartement;32;3
14650;964;Appartement;64;3
14651;1011;Appartement;30;1
14652;965;Appartement;20;2
14653;972;Maison;53;5
14654;1013;Appartement;30;2
14655;1028;Appartement;30;1
14656;1052;Maison;45;2
14657;1061;Maison;68;4
